c_id,date,price
298,2025-05-05,600
299,2025-05-05,1050
296,2025-05-05,2000
297,2025-05-05,3100
317,2025-05-05,1900
318,2025-05-05,2600
319,2025-05-05,3000
320,2025-05-05,3500
321,2025-05-05,3400
323,2025-05-05,2700
322,2025-05-05,3800
326,2025-05-05,1400
324,2025-05-05,3500
327,2025-05-05,2200
325,2025-05-05,6000
328,2025-05-05,900
329,2025-05-05,1500
330,2025-05-05,70000
331,2025-05-05,100000
332,2025-05-05,95000
333,2025-05-05,170000
334,2025-05-05,160000
335,2025-05-05,15000
336,2025-05-05,20500
337,2025-05-05,1150
338,2025-05-05,2800
339,2025-05-05,3000
340,2025-05-05,650
342,2025-05-05,600
343,2025-05-05,900
344,2025-05-05,1200
345,2025-05-05,150
346,2025-05-05,300
348,2025-05-05,400
349,2025-05-05,500
350,2025-05-05,750
351,2025-05-05,850
352,2025-05-05,1700
353,2025-05-05,1400
354,2025-05-05,2200
358,2025-05-05,7000
359,2025-05-05,850
360,2025-05-05,1400
361,2025-05-05,2200
287,2025-05-12,2600
288,2025-05-12,3100
289,2025-05-12,250
290,2025-05-12,500
291,2025-05-12,2000
311,2025-05-12,2600
312,2025-05-12,1500
308,2025-05-12,9300
309,2025-05-12,12700
310,2025-05-12,6600
300,2025-05-12,1000
301,2025-05-12,1300
302,2025-05-12,2000
303,2025-05-12,1950
304,2025-05-12,2800
305,2025-05-12,950
306,2025-05-12,1450
292,2025-05-12,1800
295,2025-05-12,13000
294,2025-05-12,3600
293,2025-05-12,2400
298,2025-05-12,600
299,2025-05-12,1050
296,2025-05-12,2000
297,2025-05-12,3100
317,2025-05-12,1900
318,2025-05-12,2600
319,2025-05-12,3000
320,2025-05-12,3500
321,2025-05-12,3400
323,2025-05-12,2700
322,2025-05-12,3800
326,2025-05-12,1400
324,2025-05-12,3500
327,2025-05-12,2200
325,2025-05-12,6000
328,2025-05-12,900
329,2025-05-12,1500
330,2025-05-12,70000
331,2025-05-12,100000
332,2025-05-12,95000
333,2025-05-12,170000
334,2025-05-12,160000
335,2025-05-12,15000
336,2025-05-12,20500
337,2025-05-12,1150
338,2025-05-12,2800
339,2025-05-12,3000
340,2025-05-12,650
342,2025-05-12,600
343,2025-05-12,900
344,2025-05-12,1200
345,2025-05-12,150
346,2025-05-12,300
348,2025-05-12,400
349,2025-05-12,500
350,2025-05-12,750
351,2025-05-12,850
352,2025-05-12,1700
353,2025-05-12,1400
354,2025-05-12,2200
358,2025-05-12,7000
359,2025-05-12,850
360,2025-05-12,1400
361,2025-05-12,2200
287,2025-05-19,2600
288,2025-05-19,3100
289,2025-05-19,250
290,2025-05-19,500
291,2025-05-19,2000
311,2025-05-19,2600
312,2025-05-19,1500
308,2025-05-19,9300
309,2025-05-19,12700
310,2025-05-19,6600
300,2025-05-19,1000
301,2025-05-19,1300
302,2025-05-19,2000
303,2025-05-19,1950
304,2025-05-19,2800
305,2025-05-19,950
306,2025-05-19,1450
292,2025-05-19,1800
295,2025-05-19,13000
294,2025-05-19,3600
293,2025-05-19,2400
298,2025-05-19,600
299,2025-05-19,1050
296,2025-05-19,2000
297,2025-05-19,3100
317,2025-05-19,1900
